Facility ID,Name,Address,License Type,License Number,Last Inspection Date,Inspection Purpose,Total Violations,Critical Violations,Violation Details
1,PIZZA MAN OF CUMERLAND,87 BROAD STREET CUMBERLAND RI 02864,Seats - Less than 50,FSV15258,08-30-2025,Routine,4,0,"10 - adequate handwashing sinks properly supplied and accessible | 55 - physical facilities installed, maintained, & clean | 51 - plumbing installed: proper backflow device | 15 - food separated and protected"
1,PIZZA MAN OF CUMERLAND,87 BROAD STREET CUMBERLAND RI 02864,Seats - Less than 50,FSV15258,06-01-2025,Re-Inspection,2,0,"55 - physical facilities installed, maintained, & clean | 15 - food separated and protected"
1,PIZZA MAN OF CUMERLAND,87 BROAD STREET CUMBERLAND RI 02864,Seats - Less than 50,FSV15258,03-03-2025,Routine,0,0,None
1,PIZZA MAN OF CUMERLAND,87 BROAD STREET CUMBERLAND RI 02864,Seats - Less than 50,FSV15258,12-03-2024,Environmental Complaint,4,0,49 - non-food contact surfaces clean | 22 - proper cold holding temperatures | 15 - food separated and protected | 52 - sewage & waste water properly disposed
2,I HOP NO 4701,159 WEST MAIN ROAD MIDDLETOWN RI 02842,Seats - 50 or More,FSV16247,08-30-2025,Routine,4,1,"52 - sewage & waste water properly disposed | 22 - proper cold holding temperatures | 15 - food separated and protected | 39 - contamination prevented during food preparation, storage, & display"
2,I HOP NO 4701,159 WEST MAIN ROAD MIDDLETOWN RI 02842,Seats - 50 or More,FSV16247,06-01-2025,Environmental Complaint,3,0,"55 - physical facilities installed, maintained, & clean | 51 - plumbing installed: proper backflow device | 39 - contamination prevented during food preparation, storage, & display"
2,I HOP NO 4701,159 WEST MAIN ROAD MIDDLETOWN RI 02842,Seats - 50 or More,FSV16247,03-03-2025,Re-Inspection,0,0,None
3,EDGEWOOD HIGHLAND SCHOOL,160 PAWTUXET AVENUE CRANSTON RI 02905,Food Service (Non-Profit),FSV10436,08-30-2025,Routine,3,0,"53 - toilet facilities: properly constructed, supplied, & cleaned | 49 - non-food contact surfaces clean | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used"
3,EDGEWOOD HIGHLAND SCHOOL,160 PAWTUXET AVENUE CRANSTON RI 02905,Food Service (Non-Profit),FSV10436,07-01-2025,Routine,1,0,22 - proper cold holding temperatures
3,EDGEWOOD HIGHLAND SCHOOL,160 PAWTUXET AVENUE CRANSTON RI 02905,Food Service (Non-Profit),FSV10436,04-02-2025,Routine,0,0,None
3,EDGEWOOD HIGHLAND SCHOOL,160 PAWTUXET AVENUE CRANSTON RI 02905,Food Service (Non-Profit),FSV10436,01-02-2025,Routine,0,0,None
4,BENOIT BROWN CHILDREN CENTER,2390 MENDON ROAD WOONSOCKET RI 02895,Food Service (Non-Profit),FSV11050,08-30-2025,Routine,2,0,"53 - toilet facilities: properly constructed, supplied, & cleaned | 39 - contamination prevented during food preparation, storage, & display"
4,BENOIT BROWN CHILDREN CENTER,2390 MENDON ROAD WOONSOCKET RI 02895,Food Service (Non-Profit),FSV11050,07-01-2025,Re-Inspection,2,0,"49 - non-food contact surfaces clean | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used"
4,BENOIT BROWN CHILDREN CENTER,2390 MENDON ROAD WOONSOCKET RI 02895,Food Service (Non-Profit),FSV11050,04-02-2025,Re-Inspection,0,0,None
4,BENOIT BROWN CHILDREN CENTER,2390 MENDON ROAD WOONSOCKET RI 02895,Food Service (Non-Profit),FSV11050,01-02-2025,Routine,0,0,None
5,WARWICK EARLY LEARNING CENTER AT JOHN BROWN FRANCIS,325 MAINTONOMO DRIVE WARWICK RI 02888,Food Service (Non-Profit),FSV20844,09-29-2025,Routine,5,0,"47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 10 - adequate handwashing sinks properly supplied and accessible | 51 - plumbing installed: proper backflow device | 22 - proper cold holding temperatures | 15 - food separated and protected"
5,WARWICK EARLY LEARNING CENTER AT JOHN BROWN FRANCIS,325 MAINTONOMO DRIVE WARWICK RI 02888,Food Service (Non-Profit),FSV20844,06-01-2025,Routine,5,0,"10 - adequate handwashing sinks properly supplied and accessible | 39 - contamination prevented during food preparation, storage, & display | 55 - physical facilities installed, maintained, & clean | 51 - plumbing installed: proper backflow device | 52 - sewage & waste water properly disposed"
5,WARWICK EARLY LEARNING CENTER AT JOHN BROWN FRANCIS,325 MAINTONOMO DRIVE WARWICK RI 02888,Food Service (Non-Profit),FSV20844,04-02-2025,Re-Inspection,3,0,"55 - physical facilities installed, maintained, & clean | 15 - food separated and protected | 22 - proper cold holding temperatures"
5,WARWICK EARLY LEARNING CENTER AT JOHN BROWN FRANCIS,325 MAINTONOMO DRIVE WARWICK RI 02888,Food Service (Non-Profit),FSV20844,12-03-2024,Routine,5,1,"15 - food separated and protected | 10 - adequate handwashing sinks properly supplied and accessible | 39 - contamination prevented during food preparation, storage, & display | 22 - proper cold holding temperatures | 52 - sewage & waste water properly disposed"
6,OCEAN TIDES SCHOOL,635 OCEAN ROAD NARRAGANSETT RI 02882,Food Service (Non-Profit),FSV21299,08-30-2025,Routine,2,0,49 - non-food contact surfaces clean | 22 - proper cold holding temperatures
6,OCEAN TIDES SCHOOL,635 OCEAN ROAD NARRAGANSETT RI 02882,Food Service (Non-Profit),FSV21299,07-01-2025,Routine,2,0,"47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 49 - non-food contact surfaces clean"
6,OCEAN TIDES SCHOOL,635 OCEAN ROAD NARRAGANSETT RI 02882,Food Service (Non-Profit),FSV21299,04-02-2025,Routine,2,0,"55 - physical facilities installed, maintained, & clean | 15 - food separated and protected"
7,COSTANTINO'S RESTAURANTE & CAFFE,265 ATWELLS AVENUE PROVIDENCE RI 02903,Seats - Less than 50,FSV21561,09-29-2025,Environmental Complaint,4,1,22 - proper cold holding temperatures | 51 - plumbing installed: proper backflow device | 10 - adequate handwashing sinks properly supplied and accessible | 52 - sewage & waste water properly disposed
7,COSTANTINO'S RESTAURANTE & CAFFE,265 ATWELLS AVENUE PROVIDENCE RI 02903,Seats - Less than 50,FSV21561,06-01-2025,Follow-up,4,2,"52 - sewage & waste water properly disposed | 39 - contamination prevented during food preparation, storage, & display | 53 - toilet facilities: properly constructed, supplied, & cleaned | 15 - food separated and protected"
7,COSTANTINO'S RESTAURANTE & CAFFE,265 ATWELLS AVENUE PROVIDENCE RI 02903,Seats - Less than 50,FSV21561,03-03-2025,Re-Inspection,0,0,None
7,COSTANTINO'S RESTAURANTE & CAFFE,265 ATWELLS AVENUE PROVIDENCE RI 02903,Seats - Less than 50,FSV21561,01-02-2025,Routine,0,0,None
